Name,Field(s),Dates,Notes
Heike Behrens,,,German psycholinguist
Jeannie Bell,,,Australian specialist in Aboriginal languages
Ursula Bellugi,,,German-American linguist and cognitive neuroscientist
Andrea Berez-Kroeker,,,American documentary linguist
Elena Berezovich,,,Russian onomastician and ethnolinguist
Helma van den Berg,,,Dutch linguist and Caucasian specialist
Brita Bergman,,,Swedish signed-language linguist
Jean Berko Gleason,,,American psycholinguist and Wug Test creator
Ruth A. Berman,,,South African-Israeli linguist and Hebraicist
Eloína Miyares Bermúdez,,,Cuban linguist and lexicographer
Denise Bernot,,,French linguist and Burmese specialist
Maria Luisa Altieri Biagi,,,Italian historical linguist
Judith Bishop,,,"Australian poet, linguist and translator"
Renée A. Blake,,,Caribbean American sociolinguist
Joyce Blau,,,Egyptian-French linguist and Kurdish specialist
Dorothea Bleek,,,South African-born German anthropologist and philologist
Juliette Blevins,,,"American phonetician, phonologist and historical linguist"
Sheila Blumstein,,,American neurolinguist
Hagit Borer,,,Israeli-born American theoretical linguist and syntactician
Melissa Bowerman,,,Max-Planck-based American acquisitionist/psycholinguist
Claire Bowern,,,US-based Australian historical linguist
Mary Boyce,,,British linguist and specialist in Iranian languages and Zoroastrianism
Diane Brentari,,,American linguist and sign-language specialist
Joan Bresnan,,,American syntactician and founder of Lexical-Functional Grammar
Jean Briggs,,,"American-born anthropologist, ethnographer and linguist"
Isabelle Bril,,,French linguist and typologist specialising in Austronesian languages
Rachel Bromwich,,,British philologist and Celtic specialist
Ellen Broselow,,,American experimental linguist
Catherine Browman,,,American linguist and speech scientist
Penelope Brown,,,American anthropological linguist
Til Brugman,,,"Dutch author, poet and linguist"
Éva Buchi,,,"Swiss linguist, lexicographer and Romance specialist"
Mary Bucholtz,,,American sociolinguist and anthropological linguist
Tove Bull,,,"Norwegian linguist, first female rector of the University of Tromsø"
Svetlana Burlak,,,Russian linguist and Indo-Europeanist
Kate Burridge,,,Australian linguist and Germanicist
Miriam Butt,,,German computational linguist and syntactician
Joan Bybee,,,"American linguist, pioneer of the usage-based approach"
Rena Torres Cacoullos,,,
Halet Çambel,,,Archaeologist and decipherer of Anatolian hieroglyphs
Deborah Cameron,,,Linguist
Una Canger,,,Linguist
Justine Cassell,,,Linguist
Nina Catach,,,Linguist
Lee Cataldi,,,Linguist
María Catrileo,,,Linguist
Anne H. Charity Hudley,,,Linguist
Carole Chaski,,,Linguist
Yiya Chen,,,Linguist
Lisa Cheng,,,Linguist
Jenny Cheshire,,,Linguist
Marion Frances Chevalier,,,Linguist
Soonja Choi,,,Linguist
Carol Chomsky,,,Linguist
Lina Choueiri,,,Linguist
Ann Chowning,,,Linguist
Kirsti Koch Christensen,,,Linguist
Eiléan Ní Chuilleanáin,,,Linguist
Sandra Chung,,,Linguist
Victoria Cirlot,,,Linguist
Dymphna Clark,,,Linguist
Eve V. Clark,,,Linguist
Jennifer S. Cole,,,Linguist
Nancy Condee,,,Linguist
Ellen Contini-Morava,,,Linguist
Alexandra Cornilescu,,,Linguist
Elizabeth Couper-Kuhlen,,,Linguist
Elizabeth Cowper,,,Linguist
Martha Crago,,,Linguist
Megan Crowhurst,,,Linguist
Anna Morpurgo Davies,,,Linguist
Jenny L. Davis,,,Linguist
Jean D'Costa,,,Linguist
Yeda Pessoa de Castro,,,Linguist
Maria Odulio de Guzman,,,Linguist
Ella Cara Deloria,,,Linguist
Susie Dent,,,Linguist
María Rosa Lida de Malkiel,,,Linguist
Güzin Dino,,,Linguist
Nina Dobrushina,,,Linguist
Florence Dolphyne,,,Linguist
Nancy Dorian,,,Linguist
Edit Doron,,,Linguist
Helen Doron,,,Linguist
Laura J. Downing,,,Linguist
Rajna Dragićević,,,Linguist
Dulce Almada Duarte,,,Linguist
Christa Dürscheid,,,Linguist
Arienne Dwyer,,,Linguist
Penelope Eckert,,,Linguist
Susan Ehrlich,,,Linguist
Vilma Sindona Eichholz,,,Linguist
Katalin É. Kiss,,,Linguist
Suzette Haden Elgin,,,Linguist
Tatyana Elizarenkova,,,Linguist
Karen Emmorey,,,Linguist
Elisabeth Engberg-Pedersen,,,Linguist
Elisabet Engdahl,,,Linguist
Nora England,,,Linguist
Zeynep Ergun,,,Linguist
Patricia Esteban Erlés,,,Linguist
Mirjam Ernestus,,,Linguist
Tamara Erofeyeva,,,Linguist
Susan M. Ervin-Tripp,,,Linguist
Rosario María Gutiérrez Eskildsen,,,Linguist
Pamela Faber,,,Linguist
Teresa Fanego,,,Linguist
Iryna Farion,,,Linguist
Christiane Fellbaum,,,Linguist
Stephanie Fielding,,,Linguist
Linda Fierz-David,,,Linguist
Eva Fiesel,,,Linguist
Eli Fischer-Jørgensen,,,Linguist
Colleen Fitzgerald,,,Linguist
Ruth Vatvedt Fjeld,,,Linguist
Margaret Florey,,,Linguist
Janet Dean Fodor,,,Linguist
Mary LeCron Foster,,,Linguist
Lyn Frazier,,,Linguist
Olga Freidenberg,,,Linguist
Olga Frolova,,,Linguist
Victoria Fromkin,,,Linguist
Annemarie von Gabain,,,Linguist
Anneli Ute Gabanyi,,,Linguist
Susan Gal,,,Linguist
Naira Gelashvili,,,Linguist
Carol Genetti,,,Linguist
Donna Gerdts,,,Linguist
Judit Gervain,,,Linguist
Henriette Gezundhajt,,,Linguist
Jila Ghomeshi,,,Linguist
Anna Italian Giacalone Ramat,,,Linguist
Lila Gleitman,,,Linguist
Eileen Glisan,,,Linguist
Irina Glushkova,,,Linguist
Adele Goldberg,,,Linguist
Susan Goldin-Meadow,,,Linguist
Felicitas Goodman,,,Linguist
Myrna Gopnik,,,Linguist
Lisa Green,,,Linguist
Lenore Grenoble,,,Linguist
Delia Grigore,,,Linguist
Sarah Israelit Groll,,,Linguist
Nina Grønnum,,,Linguist
Marianne Gullberg,,,Linguist
Natalia Gvishiani,,,Linguist
Mary Haas,,,Linguist
Luise Haessler,,,Linguist
Eva Hajičová,,,Linguist
Auli Hakulinen,,,Linguist
Kira Hall,,,Linguist
Maj-Britt Mosegaard Hansen,,,Linguist
Heidi Harley,,,Linguist
Alice Harris,,,Linguist
Jane Ellen Harrison,,,Linguist
Ruqaiya Hasan,,,Linguist
Iulia Hasdeu,,,Linguist
Margaret Hasluck,,,Linguist
Anna Granville Hatcher,,,Linguist
Shirley Brice Heath,,,Linguist
Irene Heim,,,Linguist
Monica Heller,,,Linguist
Luise Hercus,,,Linguist
Gabriella Hermon,,,Linguist
Susan Herring,,,Linguist
Judit Hidasi,,,Linguist
Martha Hildebrandt,,,Linguist
Elizabeth Hill,,,Linguist
Jane H. Hill,,,Linguist
Leanne Hinton,,,Linguist
Erika Hoff,,,Linguist
Janet Holmes,,,Linguist
Clara Holst,,,Linguist
Anne Holtsmark,,,Linguist
Elizabeth V. Hume,,,Linguist
Jennett Humphreys,,,Linguist
Nina Hyams,,,Linguist
Sabine Iatridou,,,Linguist
Sharon Inkelas,,,Linguist
Luce Irigaray,,,Linguist
Junko Itō,,,Linguist
Ann-Marie Ivars,,,Linguist
Pauline Jacobson,,,Linguist
Katarzyna Jaszczolt,,,Linguist
LaVerne Jeanne,,,Linguist
Gail Jefferson,,,Linguist
Eloise Jelinek,,,Linguist
Eva Skafte Jensen,,,Linguist
Li Jinfang,,,Linguist
Harriet Jisa,,,Linguist
Brigitte Jobbé-Duval,,,Linguist
Eliza Grew Jones,,,Linguist
Yamuna Kachru,,,Linguist
Renée Kahane,,,Linguist
Ellen Kaisse,,,Linguist
Olga Kapeliuk,,,Linguist
Elisabeth Karg-Gasterstädt,,,Linguist
Suzanne Karpelès,,,Linguist
Frances Karttunen,,,Linguist
Patricia Keating,,,Linguist
Ksenia Kepping,,,Linguist
Roberta Kevelson,,,Linguist
Ayesha Kidwai,,,Linguist
Hannah Kilham,,,Linguist
Barbara Ann Kipfer,,,Linguist
Verna Kirkness,,,Linguist
Irena Klepfisz,,,Linguist
Alice Kober,,,Linguist
Maria Koptjevskaja-Tamm,,,Linguist
Snježana Kordić,,,Linguist
Zeynep Korkmaz,,,Linguist
Judit Kormos,,,Linguist
Jaklin Kornfilt,,,Linguist
Margarita Kozhina,,,Linguist
Christina Kramer,,,Linguist
Angelika Kratzer,,,Linguist
Mary Esther Kropp Dakubu,,,Linguist
Tania Kuteva,,,Linguist
Johanna Laakso,,,Linguist
Mena Lafkioui,,,Linguist
Aditi Lahiri,,,Linguist
Robin Lakoff,,,Linguist
Ann Lambton,,,Linguist
Sonja L. Lanehart,,,Linguist
Diane Larsen-Freeman,,,Linguist
Agathe Lasch,,,Linguist
Yolanda Lastra,,,Linguist
Julie Anne Legate,,,Linguist
Ilse Lehiste,,,Linguist
Beth Levin,,,Linguist
Diane Lillo-Martin,,,Linguist
Rosina Lippi,,,Linguist
Lucy Lloyd,,,Linguist
Bettelou Los,,,Linguist
Ceil Lucas,,,Linguist
Monica Macaulay,,,Linguist
Asifa Majid,,,Linguist
Joan Maling,,,Linguist
Melanie Malzahn,,,Linguist
Maria Rita Manzini,,,Linguist
Christiane Marchello-Nizia,,,Linguist
Raymattja Marika,,,Linguist
France Martineau,,,Linguist
Esther Martinez,,,Linguist
Diane Massam,,,Linguist
Geneviève Massignon,,,Linguist
Margaret Masterman,,,Linguist
Rachel Mayberry,,,Linguist
Katayun Mazdapour,,,Linguist
Sally McConnell-Ginet,,,Linguist
Sandra Lee McKay,,,Linguist
Erin McKean,,,Linguist
April McMahon,,,Linguist
Louise McNally,,,Linguist
Felicity Meakins,,,Linguist
Inna Meiman-Kitrossky,,,Linguist
Norma Mendoza-Denton,,,Linguist
Lise Menn,,,Linguist
Paula Menyuk,,,Linguist
Elena Mestergazi,,,Linguist
Helle Metslang,,,Linguist
Miriam Meyerhoff,,,Linguist
Laura Michaelis,,,Linguist
Susanne Maria Michaelis,,,Linguist
Halina Mierzejewska,,,Linguist
Lesley Milroy,,,Linguist
Zara Mints,,,Linguist
Marianne Mithun,,,Linguist
María Moliner,,,Linguist
Friederike Moltmann,,,Linguist
Jill Morford,,,Linguist
Odille Morison,,,Linguist
Teresa Moure,,,Linguist
Claire Moyse-Faurie,,,Linguist
Pamela Munro,,,Linguist
Lynne Murphy,,,Linguist
Mona Muscă,,,Linguist
Carol Myers-Scotton,,,Linguist
Mira Nábělková,,,Linguist
Susan J. Napier,,,Linguist
Donna Jo Napoli,,,Linguist
Monique Nemni,,,Linguist
Johanna Nichols,,,Linguist
Harriet Bjerrum Nielsen,,,Linguist
Tatiana Nikitina,,,Linguist
Shaista Nuzhat,,,Linguist
Arika Okrent,,,Linguist
Birgit Anette Olsen,,,Linguist
Natalia O'Shea,,,Linguist
Françoise Ozanne-Rivierre,,,Linguist
A. Sumru Özsoy,,,Linguist
Aslı Özyürek,,,Linguist
Carol Padden,,,Linguist
Barbara Partee,,,Linguist
Gertrud Pätsch,,,Linguist
Marija Aušrinė Pavilionienė,,,Linguist
Aneta Pavlenko,,,Linguist
Elena Paducheva,,,Linguist
Doris L. Payne,,,Linguist
Asya Pereltsvaig,,,Linguist
Ellavina Perkins,,,Linguist
Michèle Perret,,,Linguist
Einfrid Perstølen,,,Linguist
Janet Pierrehumbert,,,Linguist
Ingrid Piller,,,Linguist
Elisabeth Piirainen,,,Linguist
Maria Polinsky,,,Linguist
Shana Poplack,,,Linguist
Saveros Pou,,,Linguist
Ellen Prince,,,Linguist
Tatiana Proskouriakoff,,,Linguist
Luise F. Pusch,,,Linguist
Parashqevi Qiriazi,,,Linguist
Robin Queen,,,Linguist
Fatemeh Rakeei,,,Linguist
Ekaterina Rakhilina,,,Linguist
Angela Ralli,,,Linguist
Gillian Ramchand,,,Linguist
Irmengard Rauch,,,Linguist
Dorit Ravid,,,Linguist
Tanya Reinhart,,,Linguist
Ursula Reutner,,,Linguist
Josette Rey-Debove,,,Linguist
Barbara Reynolds,,,Linguist
Annie Rialland,,,Linguist
Keren Rice,,,Linguist
Wilga Rivers,,,Linguist
Stéphane Robert,,,Linguist
Suzanne Romaine,,,Linguist
Mitsou Ronat,,,Linguist
Jana S. Rošker,,,Linguist
Jane Helen Rowlands,,,Linguist
Alma Sabatini,,,Linguist
Fatima Sadiqi,,,Linguist
Azarmi Dukht Safavi,,,Linguist
Alicja Sakaguchi,,,Linguist
Dora Sakayan,,,Linguist
Satvasheela Samant,,,Linguist
Hazel Sampson,,,Linguist
Wendy Sandler,,,Linguist
Gillian Sankoff,,,Linguist
Katherine Siva Saubel,,,Linguist
Irene Saunders,,,Linguist
Bambi Schieffelin,,,Linguist
Natalie Schilling,,,Linguist
Monika Schmid,,,Linguist
Lucy Seki,,,Linguist
Elisabeth O. Selkirk,,,Linguist
Elena Semino,,,Linguist
Tamara Shakryl,,,Linguist
Devyani Sharma,,,Linguist
Patricia Alice Shaw,,,Linguist
Judy Shepard-Kegl,,,Linguist
Natalia Shvedova,,,Linguist
Anna Siewierska,,,Linguist
Mandy Simons,,,Linguist
Jane Simpson,,,Linguist
Dorjana Širola,,,Linguist
Marie-Louise Sjoestedt,,,Linguist
Tove Skutnabb-Kangas,,,Linguist
Adeline Smith,,,Linguist
Mary Snell-Hornby,,,Linguist
Antonella Sorace,,,Linguist
Rosanna Sornicola,,,Linguist
Lyubov Sova,,,Linguist
Tamar Sovran,,,Linguist
Salamatou Sow,,,Linguist
Donca Steriade,,,Linguist
Karen Stollznow,,,Linguist
Thelma D. Sullivan,,,Linguist
Merrill Swain,,,Linguist
Eve Sweetser,,,Linguist
Kristen Syrett,,,Linguist
Sali Tagliamonte,,,Linguist
Clotilde Tambroni,,,Linguist
Deborah Tannen,,,Linguist
Marina Tarlinskaja,,,Linguist
Elaine Tarone,,,Linguist
Marie-Lucie Tarpent,,,Linguist
Joan M. Tenenbaum,,,Linguist
M. Carey Thomas,,,Linguist
Sarah Thomason,,,Linguist
Sandra Thompson,,,Linguist
Erika Timm,,,Linguist
Rosemarie Tracy,,,Linguist
Elizabeth C. Traugott,,,Linguist
Joan Lee Tu,,,Linguist
Joan Turville-Petre,,,Linguist
Aisin-Gioro Ulhicun,,,Linguist
Helene Uri,,,Linguist
Anna Vainikka,,,Linguist
Jacqueline Vaissière,,,Linguist
Marijn van Dijk,,,Linguist
Martine Vanhove,,,Linguist
Ans van Kemenade,,,Linguist
Galina Varlamova,,,Linguist
Marjolijn Verspoor,,,Linguist
Margaret Mary Vojtko,,,Linguist
Tsvia Walden,,,Linguist
Henriette Walter,,,Linguist
Ida C. Ward,,,Linguist
Edith Wardale,,,Linguist
Elżbieta Magdalena Wąsik,,,Linguist
Lucille Watahomigie,,,Linguist
Julia Wedgwood,,,Linguist
Lydia White,,,Linguist
Anna Wierzbicka,,,Linguist
Kay Williamson,,,Linguist
Ruth Wodak,,,Linguist
Alison Wray,,,Linguist
Elizabeth Mary Wright,,,Linguist
Susi Wurmbrand,,,Linguist
Viktoria Yartseva,,,Linguist
Mary Yee,,,Linguist
Galina Yershova,,,Linguist
Moira Yip,,,Linguist
Virginia Yip,,,Linguist
Martha Young-Scholten,,,Linguist
Annie Zaenen,,,Linguist
Raffaella Zanuttini,,,Linguist
Hiltgunt Zassenhaus,,,Linguist
Georgia Zellou,,,Linguist
Ofelia Zepeda,,,Linguist
Ulrike Zeshan,,,Linguist
Niina Ning Zhang,,,Linguist
Milena Žic-Fuchs,,,Linguist
Elizabeth Zsiga,,,Linguist
M.-L. Zubizarreta,,,Linguist
Jane Zuengler,,,Linguist
Cecilia Bouzat,,1961,biochemist studying neurological disorders
Maria G. Castro,,2000,"Professor of Neurosurgery, University of Michigan Medical School"
Lyn Beazley,,1944,British-born Australian neuroscientist and educator
Leeanne Carey,,1959,neuroscientist in occupational therapy and stroke rehabilitation and recovery research
Adrienne Fairhall,,2000,computational neuroscientist and educator
Una Lucy Fielding,,1888-1969,neuroanatomist remembered for discovering the vascular link between the hypothalamus and the pituitary gland
Mary Galea,,1951,physiotherapist and neuroscientist at the University of Melbourne
Glenda Halliday,,2008,"neuroscientist at the University of Sydney, NHMRC research fellow"
Muireann Irish,,2013,cognitive neuropsychologist at the University of Sydney
Jee Hyun Kim,,2004,behavioral neuroscientist focusing on emotional learning and memory during childhood
Natalie Matosin,,2012,scientist researching the impacts of stress and its role in mental illness
Elspeth McLachlan,,1942,world authority on neural pathways within the autonomic nervous system
Pat Michie,,2009,emeritus professor of psychology at Australia's University of Newcastle
Kathryn North,,1994,"paediatric physician, neurologist, and clinical geneticist working on cognitive deficits in neurofibromatosis type 1 and intervention strategies for children with learning disabilities and inherited myopathies"
Jennie Ponsford,,2000,"neuroscientist researching the negative consequences of traumatic brain injury related to fatigue, sleep disturbance, attentional problems, mood and behavioural disturbances"
Sandra Rees,,1942,research into the pathogenesis of brain injury
Linda Richards,,,currently researching development of the cortical midline
Nicole Rinehart,,2000,"focus on autism, Asperger's disorder and ADHD"
Lesley Joy Rogers,,1943,emeritus professor of neuroscience at Australia's University of New England
Renae Ryan,,2000,"neuroscientists and pharmacologist promoting gender equity, diversity and inclusion"
Ingrid Scheffer,,1958,paediatric neurologist and senior research fellow focusing on epilepsy
Alexandra Adler,,1901-2001,neurologist remembered for her work on the brain of a multiple sclerosis victim and for her research on posttraumatic stress disorder
Elisabeth Binder,,2000,neuroscientist specializing in the study of mood and anxiety disorders
Melly Oitzl,,1955,"behavioral neuroscientist focusing on relationships between stress, cognition and emotion"
Suzana Herculano-Houzel,,1972,focus on neuroanatomy
Anna Christina Nobre,,1963,UK-based Brazilian neuroscientist researching neural systems supporting cognitive functions in the human brain
Rosemary Bagot,,1981,researching the mechanisms of altered brain function in depression
Frances Champagne,,2007,"focus on molecular neuroscience, maternal behavior, and epigenetics"
Sherry Chou,,2014,neuroscientist focusing on neurocritical care
Anne Churchland,,2014,neuroscientist focusing on the function of the posterior parietal cortex in cognitive processes
Meaghan Creed,,2016,research into neuromodulation
Karen Davis,,1990,"focusing on the mechanisms underlying acute and chronic pain and temperature perception, the influence of attention, and plasticity"
Allison J. Doupe,,1954-2014,"psychiatrist, biologist, and neuroscientist focusing on avian neurobiology and communication"
Lillian Dyck,,1945,"Saskatchewan senator, formerly a neuroscientist and dean at the University of Saskatchewan"
Gillian Einstein,,1952,American-born Canadian neuroscientist focusing on the anatomy of the female brain
Alison Fleming,,2004,neuroscientist working on mothering instincts and maternal behaviour
Ariel Garten,,1979,clothing designer and scientist exploring the intersection of art and neuroscience
Isabel Gauthier,,1971,cognitive neuroscientist and journal editor
Mireille Gillings,,1971,US-based Canadian neurobiologist and entrepreneur
Rachel Sarah Herz,,1992,psychologist and cognitive neuroscientist focusing on the psychology of smell
Judy Illes,,1960,professor of neurology focusing on neuroethics
Sheena Josselyn,,2018,neuroscientist studying the neural basis of memory at the University of Toronto
Ingrid Johnsrude,,1997,"neuroscientist and professor focusing on brain structure and language ability, and degenerative brain diseases in the elderly"
Sheena Josselyn,,1990,neuroscientist studying the neural basis of memory
Sandi Lam,,2010,neurosurgeon studying novel uses of neuroendoscopy in minimally invasive epilepsy surgery
Daphne Maurer,,1980,"experimental psychologist focusing on child development, vision and synaesthesia"
Brenda Milner,,1918,British-Canadian neuroscientist focusing on clinical neuropsychology
Kathryn Mary Murphy,,1990,neuroscientists studying the development and plasticity of the brain
Cecilia Moens,,1994,research into development of hindbrain neurons
Lorina Naci,,2010,Albanian-born Canadian psychologist and neuroscientist known for developing a method for communicating with patients in a persistent vegetative state
Caroline Palmer,,1990,research into behavioural and neural foundations
Isabelle Peretz,,1956,professor of psychology specializing in music cognition
Maria Natasha Rajah,,2007,"cognitive neuroscientist working on episodic memory, ageing and dementia"
Jane Roskams,,1990,Isle of Man-born Canadian neuroscientist interested in Brain Big Data and Open Data sharing
Deboleena Roy,,2008,neuroscientist focusing on reproductive neuroendocrinology and molecular biology
Jane Rylett,,1994,molecular neurobiologist
Lisa Saksida,,2000,touchscreen-based cognitive assessment
Rebecca Saxe,,2008,professor of cognitive neuroscience at MIT
Justine Sergent,,1950-1994,Lebanese-born Canadian neuroscience researcher specializing in the functional neuroanatomy of face processing
Bernice Shanet,,1929,neurophysiologist specializing in neuroregeneration research
Rae Silver,,1997,neuroendocrinologist and neuroscientist researcing the suprachiasmatic nucleus of the hypothalamus
Debra W. Soh,,1990,"science columnist, sex researcher and psychologist"
Bojana Stefanovic,,2005,neuroscientist researching functional brain neuroimaging
Jane Stewart,,1980,"neuroscientist active in psychology, psychiatry, and psychopharmacology"
Indre Viskontas,,2000,Lithuanian-Canadian cognitive neuroscientist and operatic soprano
Anna Weinberg,,2014,"psychologist, Canada Research Chair in Clinical Neuroscience, McGill University"
Catharine Winstanley,,2004,British-born Canadian behavioural neuroscientist
Sandra Witelson,,1999,neuroscientist best known for her analysis of specimens from Albert Einstein's brain
Yang Dan,,1994,Chinese-born scientist based in the US specializing in neural circuits controlling sleep and the function of the prefrontal cortex
Fan Wang,,1998,"research at MIT on neural circuits underlying touch, pain and anesthesia"
Li Gan,,1996,researching mechanisms of microglia dysfunction in neurodegeneration
Nancy Ip,,1955,Hong Kong neuroscientist
Lily Jan,,1947,neuroscientist investigating the neuromuscular junction in Drosophila fly larvae
Li-Huei Tsai,,1990,Taiwanese neuroscientist based in the US known for her work on neurological disorders that affect learning and memory
Dayu Lin,,2000,Chinese neuroscientist based in the U.S. studying neural circuits underlying aggression in rodents.
Hailan Hu,,2000,explores neural mechanisms underlying social behaviors and psychiatric diseases
Guo-li Ming,,2002,researching stem cells to model genetic and environmental risk for brain disorders
Hongkui Zeng,,2011,headed team creating the Allen Mouse Connectivity Atlas
Li Zhaoping,,1964,computational neuroscientist and vision scientist known for the V1 Saliency Hypothesis.
Marta Zlatic,,1977,"neuroscientist, group leader of the MRC Laboratory of Molecular Biology, Cambridge, UK"
Panayiota Poirazi,,1974,"neuroscientist known for modelling dendritic computations, member of the European Molecular Biology Organization"
Eva Syková,,1944,neuroscientist researching ionic and volume homeostasis
Gudrun Boysen,,1939,neurologist researching the causes and effects of strokes
Gitte Moos Knudsen,,1959,translational neurobiologist and clinical neurologist
Maiken Nedergaard,,1980,neuroscientist known for discovering the glymphatic system
Milena Penkowa,,1973,neuroscientist guilty of scientific misconduct
Riitta Hari,,2011,"Finnish neuroscientist,at the Science Forum 2011 in Helsinki.,"
Riitta Hari,,1948,neuroscientist known for her work on the understanding of healthy and diseased human cortex development
Miia Kivipelto,,1973,neuroscientist researching dementia and Alzheimer's disease
Denise Albe-Fessard,,1916-2003,neuroscientist known for her research into the central nervous system pain pathways
Angélique Arvanitaki,,1901-1983,neuroscientist known for her research into the electrical activity of neurons
Aurore Avarguès-Weber,,1983,cognitive neuroscientist researching the behaviour of bees
Anne Beaumanoir,,1923,neurophysiologist and resistance worker who headed the neurophysiology department of the University Hospital of Geneva
Cécile Charrier,,1983,"neuroscientist researcher, recipient of the 2021 Irène Joliot-Curie “Young Female Scientist of the Year” award."
Augusta Déjerine-Klumpke,,1859-1927,American-born French neuroanatomist known for co-authoring the two-volume book on the anatomy of nerve centers Anatomie des Centres Nerveux
Brigitte Kieffer,,1958,molecular neurobiologist known for researching opiate receptors
Laurence Lanfumey,,1954,neuroscientist specializing in preclinical research on neuroscience and molecular neuropsychopharmacology
Marcelle Lapicque,,1873-1960,neurophysiologist known for her research on nerve impulses and the effects of poisons
Gabrielle Charlotte Lévy,,1886-1934,neurologist for whose work the Roussy-Lévy syndrome and the Lhermitte-Lévy syndrome are named
Isabelle Mansuy,,1965,"professor of neuroepigenetics at the University of Zurich, Switzerland"
Christine Petit,,1948,geneticist known for pioneering work on the genetics of hearing and deafness
Catherine Vidal,,1951,is a neuroscientist specialized on difference between male and female brain
Cécile Vogt-Mugnier,,1875-1962,neurologist known for extensive cytoarchitectonic studies on the brain
Claire Wyart,,1977,"biophysicist and neuroscientist studying the circuits underlying the control of locomotion, and chevalier of the Ordre National du Mérite."
Katrin Amunts,,1962,neuroscientist known for brain mapping
Laura Busse,,1977,researching neural circuits underlying visual processing at the University of Munich
Angela D. Friederici,,1952,expert in neuropsychology and linguistics
Nadine Gogolla,,2000,neuroscientist known for decoding facial expressions in mice as emotion-like and correlating this to neural activity
Magdalena Götz,,1962,neuroscientist noted for her study of glial cells
Sonja Hofer,,1977,professor at the Sainsbury Wellcome Centre for Neural Circuits and Behaviour
Kerstin Krieglstein,,2018,"researching molecular neurobiology, neuronal survival and ontogenetic cell death"
Eva-Maria Mandelkow,,1970,neuroscientist and Alzheimer's Disease researcher
Petra Ritter,,1974,neuroscientist applying computational neuroscience to brain simulations
Anne Schaefer,,2009,developed the TRAP technique to reveal transcriptional profiles
Constance Scharff,,1959,zoologist and neuroethologist researching birdsong and neurogenesis
Sigrid Schmitz,,1961,neuroscientist researching gender and science technology with a focus on brain sciences and contemporary neurocultures
Tania Singer,,1969,psychologist and social neuroscientist
Marthe Vogt,,1903-2003,remembered for her important contributions to the understanding of the role of neurotransmitters in the brain
Sophia Frangou,,1990,US-based neuroscientist researching the pathophysiological processes underlying psychosis
Nancy Papalopulu,,1990,UK-based neuroscientist researching how the timing of neurogenesis is regulated during vertebrate development
Elizabeth Roboz Einstein,,1904-1995,biochemist and neuroscientist known for purifying and characterizing myelin basic protein
T. S. Kanaka,,1932-2018,Asia's first female neurosurgeon
Sandhya Koushika,,2000,neuroscientist focusing on regulation of axonal transport within nerve cells
Vijayalakshmi Ravindranath,,1953,neuroscientist focused on the study of brain related disorders
Deblina Sarkar,,2018,nanoscale biosensors at MIT
M. V. Padma Srivastava,,1965,"neurologist, medical academic and writer known for the Acute Stroke Programme"
Shubha Tole,,1967,neuroscientist investigating the development and evolution of the mammalian brain
Vidita Vaidya,,2000,neuroscientist researching molecular psychiatry and the neurocircuitry of emotion
Shashi Wadhwa,,1948,known for anatomy and developmental neuroscience
Sabina Brennan,,2011,"neuroscientist at Trinity College Dublin, ""Hello Brain"" project"
Eleanor Maguire,,1970,researching episodic memory in the context of wider cognition
Mary Reilly,,2000,neurologist studying peripheral neuropathy
Tamar Flash,,1987,professor at Weizmann Institute of Science
Kalanit Grill-Spector,,,is a neuroscientist professor investigating the visual system at Stanford University
Daphna Joel,,1967,behavioural neuroscientist at Tel Aviv University
Nilli Lavi,,,is a psychologist and neuroscience professor at University College London
Yael Niv,,2012,neuroscientist studying animal reinforcement learning at Princeton University
Michal Rivlin,,,is a neuroscientist investigating the retina at the Weizmann Institute of Science
Asya Rolls,,2000,is an Israeli psychoneuroimmunologist exploring how the nervous system affects immune responses and thus physical health
Daniela Schiller,,1972,known for work on memory reconsolidation
Michal Schwartz,,,is a professor of neuroimmunology at the Weizmann Institute of Science
Tali Sharot,,,is a cognitive neuroscientist at University College London
Hamutal Slovin,,1967,neuroscientist studying the visual system using optical imaging
Hermona Soreq,,1947,known for the signaling of acetylcholine and its relevance in stress responses and neurodegenerative diseases
Arianna Di Stadio,,1975,neuroscientist and researcher
Cristina Alberini,,1990,neuroscientist studying the biological mechanisms of long-term memory
Paola Arlotta,,1971,professor of stem cell and regenerative biology at Harvard University
Camilla Bellone,,1975,is an Italian neuroscientist exploring the molecular mechanisms and neural circuits underlying social behavior and probes how defects at the molecular and circuit level give rise to psychiatric disease states
Raffaella Bosurgi,,2010,neuroscientist and executive editor of PLOS Medicine
Valeria Gazzola,,1977,"neuroscientist at the University of Amsterdam, studying the neural basis of empathy and embodied cognition"
Maria Luisa Gorno-Tempini,,2001,"neuroscientist focusing on behavioral neurology, particularly the neural substrate of language and memory"
Giordana Grossi,,2007,"cognitive neuroscientist and professor of psychology at SUNY New Paltz, New York"
Rita Levi-Montalcini,,1909-2012,Nobel laureate for her work in neurobiology
Raffaella Rumiati,,2003,cognitive neuroscientist
Maria Grazia Spillantini,,1987,researching the mechanisms leading to neurodegeneration
Noriko Osumi,,1980,specializing in neuroembryology and developmental neuroscience to reveal the scheme of human mind in terms of brain development
