Name,Field(s),Dates,Notes,Cleaned_Notes
Jennie Patrick,,1949-,"chemical engineering
one of the firstAA African AmericanAA women in the United States to earn a doctorate in traditionalAA chemical engineering; pioneer inAA supercritical fluid extraction","chemical engineering
one of the firstAA African AmericanAA women in the United States to earn a doctorate in traditionalAA chemical engineering; pioneer inAA supercritical fluid extraction"
Hattie Scott Peterson,,1913-1993,"civil engineer
believed to be the first African-American woman to gain a bachelor's degree in civil engineering","civil engineer
believed to be the first African-American woman to gain a bachelor's degree in civil engineering"
Clarice Phelps,,,"nuclear chemist
first African-American woman to help discover a chemical element (tennessine)","nuclear chemist
first African-American woman to help discover a chemical element (tennessine)"
Vivian W. Pinn,,1941-,"pathologist
Director of the Office of Research on Women's Health at the National Institutes of Health (NIH)","pathologist
Director of the Office of Research on Women's Health at the National Institutes of Health (NIH)"
Chanda Prescod-Weinstein,,1982-,"theoretical physicist, astrophysicist, cosmologist, writer
possibly first African-American woman to hold a faculty position in theoretical cosmology","theoretical physicist, astrophysicist, cosmologist, writer
possibly first African-American woman to hold a faculty position in theoretical cosmology"
Jessie Isabelle Price,,1930-2015,"veterinaryAA microbiologist
isolated and reproduced the cause of the most common life-threatening disease in duck farming in the 1950s","veterinaryAA microbiologist
isolated and reproduced the cause of the most common life-threatening disease in duck farming in the 1950s"
Sian Proctor,,,"African AmericanAA explorer, scientist,AA STEMAA communicator, and aspiringAA astronaut
geology,AA sustainabilityAA andAA planetary scienceAA professor","African AmericanAA explorer, scientist,AA STEMAA communicator, and aspiringAA astronaut
geology,AA sustainabilityAA andAA planetary scienceAA professor"
Johnnie Hines Watts Prothro,,1922-2009,"chemist
One of the first African American nutritionists and food scientists","chemist
One of the first African American nutritionists and food scientists"
Lynnae Quick,,1984-,"planetary scientist, planetary geophysicist
Ocean worldsAA Planetary Scientist atAA NASAAA Goddard Space Flight Center; fifth African-American woman to receive a Ph.D. in planetary science; first African American staff scientist in the history of theAA Smithsonian Institution'sAA Center for Earth and Planetary Studies, where she worked from 2017 to 2019; Asteroid 2001 SV 291 was renamed Asteroid 37349 Lynnaequick in honor of her work modelingAA cryovolcanicAA eruptions andAA faculaeAA formation onAA Ceres. First African American to receive theAA American Astronomical Society'sAA Harold C. Urey PrizeAA which is the highest honor for young planetary scientists and recognizes outstanding achievement in the field of planetary science by an early career researcher.","planetary scientist, planetary geophysicist
Ocean worldsAA Planetary Scientist atAA NASAAA Goddard Space Flight Center; fifth African-American woman to receive a Ph.D. in planetary science; first African American staff scientist in the history of theAA Smithsonian Institution'sAA Center for Earth and Planetary Studies, where she worked from 2017 to 2019; Asteroid 2001 SV 291 was renamed Asteroid 37349 Lynnaequick in honor of her work modelingAA cryovolcanicAA eruptions andAA faculaeAA formation onAA Ceres. First African American to receive theAA American Astronomical Society'sAA Harold C. Urey PrizeAA which is the highest honor for young planetary scientists and recognizes outstanding achievement in the field of planetary science by an early career researcher."
Mary Logan Reddick,,1914-1966,"neuroembryologist, biologist
possibly the first African-American woman scientist to receive a fellowship to study abroad, and the first female biology instructor atAA Morehouse College","neuroembryologist, biologist
possibly the first African-American woman scientist to receive a fellowship to study abroad, and the first female biology instructor atAA Morehouse College"
Eslanda Goode Robeson,,1896-1965,"chemist
first black headAA histological chemistAA of Surgical Pathology atAA New York-Presbyterian Hospital","chemist
first black headAA histological chemistAA of Surgical Pathology atAA New York-Presbyterian Hospital"
Gladys W. Royal,,1926-2002,"chemist
One of the early African-American biochemists; part of one of the few African-American husband-and-wife teams in science","chemist
One of the early African-American biochemists; part of one of the few African-American husband-and-wife teams in science"
Antoinette Rodez Schiesler,,1934-1996,"chemist
director of research atAA Villanova University","chemist
director of research atAA Villanova University"
Lyndsey Scott,,1984-,"computer programmer
lead iOS software engineer atAA NGOAA fundraiser Rallybound; firstAA African AmericanAA to sign anAA exclusive runway contractAA withAA Calvin Klein","computer programmer
lead iOS software engineer atAA NGOAA fundraiser Rallybound; firstAA African AmericanAA to sign anAA exclusive runway contractAA withAA Calvin Klein"
Alberta Jones Seaton,,1924-2014,"embryologist, biologist
One of the first African-American women awarded a doctorate in zoology, in Belgium in 1949.","embryologist, biologist
One of the first African-American women awarded a doctorate in zoology, in Belgium in 1949."
Nashlie Sephus,,,"Artificial intelligenceAA engineer
AI engineer, CTO of startup Partpic (acquired by Amazon) PhD fromAA Georgia Institute of Technology, 2019AA Ada Lovelace Award","Artificial intelligenceAA engineer
AI engineer, CTO of startup Partpic (acquired by Amazon) PhD fromAA Georgia Institute of Technology, 2019AA Ada Lovelace Award"
Cheryl L. Shavers,,1953-,"semiconductor engineering and management
first African-American Undersecretary of Commerce for Science and Technology","semiconductor engineering and management
first African-American Undersecretary of Commerce for Science and Technology"
Mabel Keaton Staupers,,1890-1989,"Nursing administrator
Instrumental in implementing the desegregation of the U.S. Army Nurse Corps during WWII","Nursing administrator
Instrumental in implementing the desegregation of the U.S. Army Nurse Corps during WWII"
Susan McKinney Steward,,1847-1918,"pediatrician, homeopath
the third African-American woman to earn a medical degree, and the first inAA New York state.","pediatrician, homeopath
the third African-American woman to earn a medical degree, and the first inAA New York state."
Moogega Cooper Stricker,,1985-20??,"Planetary protection engineer
NASAAA engineer working onAA Mars 2020AA rover.","Planetary protection engineer
NASAAA engineer working onAA Mars 2020AA rover."
Thyrsa Frazier Svager,,1930-1999,"mathematician
one of the first African-American women to receive a PhD in mathematics","mathematician
one of the first African-American women to receive a PhD in mathematics"
Latanya Sweeney,,,"computer scientist
computer scientist best known for work onAA k-anonymity","computer scientist
computer scientist best known for work onAA k-anonymity"
Valerie Thomas,,1943-,"physicist and inventor
Inventor of theAA Illusion Transmitter","physicist and inventor
Inventor of theAA Illusion Transmitter"
Margaret E. M. Tolbert,,1943-,"chemist and science administrator
the first African American and the first woman in charge of aAA Department of EnergyAA lab","chemist and science administrator
the first African American and the first woman in charge of aAA Department of EnergyAA lab"
Rubye Prigmore Torrey,,1926-2017,"chemist
Known for developing a mechanism to decompose hydrogen sulfide, which earned her a place inAA Sigma Xi","chemist
Known for developing a mechanism to decompose hydrogen sulfide, which earned her a place inAA Sigma Xi"
Powtawche Valerino,,,"mechanical engineer
First Native American to earn a PhD in engineering atAA Rice University","mechanical engineer
First Native American to earn a PhD in engineering atAA Rice University"
Chelsea Walton,,1983-,"mathematician
associate professor atAA Rice UniversityAA and aAA Sloan Research Fellow","mathematician
associate professor atAA Rice UniversityAA and aAA Sloan Research Fellow"
Dawn Ward,,1973-,"synthetic chemist
Chemist creating molecules active againstAA Hepatitis C virus","synthetic chemist
Chemist creating molecules active againstAA Hepatitis C virus"
Gladys West,,1930-,"mathematician
work onAA satellite geodesy modelsAA used inAA GPS","mathematician
work onAA satellite geodesy modelsAA used inAA GPS"
Jessica Ware,,,"evolutionary biologist,AA entomologist.
work onAA phylogenomicsAA of insect evolution","evolutionary biologist,AA entomologist.
work onAA phylogenomicsAA of insect evolution"
Marguerite Williams,,1895-1991,"geologist
the firstAA African AmericanAA to earn a doctorate inAA geologyAA in the United States","geologist
the firstAA African AmericanAA to earn a doctorate inAA geologyAA in the United States"
Geraldine Pittman Woods,,1921-1999,"science administrator
known for her lifelong dedication to community service and for establishing programs that promoteAA minoritiesAA inAA STEM fields, scientific research, and basic research","science administrator
known for her lifelong dedication to community service and for establishing programs that promoteAA minoritiesAA inAA STEM fields, scientific research, and basic research"
Dawn Wright,,1961-,"oceanographer, geographer
expert in seafloor mapping, marine geographic information systems","oceanographer, geographer
expert in seafloor mapping, marine geographic information systems"
Jane C. Wright,,1919-2013,"cancer researcher, surgeon
pioneeringAA cancer researcherAA and surgeon noted for her contributions toAA chemotherapy","cancer researcher, surgeon
pioneeringAA cancer researcherAA and surgeon noted for her contributions toAA chemotherapy"
Josephine Silone Yates,,1859-1912,"chemist
one of the first black professors hired atAA Lincoln University; first black woman to head a college science department; may have been the first black woman to hold a full professorship at any U.S. college or university","chemist
one of the first black professors hired atAA Lincoln University; first black woman to head a college science department; may have been the first black woman to hold a full professorship at any U.S. college or university"
Roger Arliner Young,,1889-1964,"zoology
first Black woman to earn a Ph.D. in Zoology","zoology
first Black woman to earn a Ph.D. in Zoology"
Roger Arliner Young,,1889-1964,"Biology
first Black woman to earn a Ph.D. in Zoology","Biology
first Black woman to earn a Ph.D. in Zoology"
